"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Complexity Dimensions Identified","Scoring and Decision Approach","Results","Findings"
"Conducting Feasibilities in Clinical Trials: An Investment to Ensure a Good Study","https://scispace.com/papers/conducting-feasibilities-in-clinical-trials-an-investment-to-2g88ivpd8o","2010","Journal Article","Perspectives in Clinical Research","Viraj Rajadhyaksha","","","Yes","72","","","","","","","","","","SciSpace","- **Relevance Score:** 30/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Provides practical guidance on feasibility studies and site placement decisions, but lacks an explicit complexity‑assessment framework or metrics.","Conducting clinical trial feasibility is one of the first steps in clinical trial conduct. This process includes assessing internal and environmental capacity, alignment of the clinical trial in terms of study design, dose of investigational product, comparator, patient type, with the local environment and assessing potential of conducting clinical trial in a specific country. A robust feasibility also ensures a realistic assessment and capability to conduct the clinical trial. For local affiliates of pharmaceutical organizations, and contract research organizations, this is a precursor to study placement and influences the decision of study placement. This article provides details on different types of feasibilities, information which is to be included and relevance of each. The article also aims to provide practical hands-on suggestions to make feasibilities more realistic and informative.","The feasibility process includes assessing internal and environmental capacity, alignment of the clinical trial in terms of study design, dose of investigational product, comparator, patient type, and local environment. It also assesses the potential of conducting the clinical trial in a specific country. A robust feasibility ensures a realistic assessment and capability to conduct the trial.","Not specified. The article details different types of feasibilities, information to be included, and their relevance, along with practical suggestions for making them realistic and informative. However, it does not specify how complexity is scored or rated (e.g., numeric scale, weighted scoring, categorical levels) or how scores inform go/no-go or feasibility decisions, nor does it mention any decision thresholds, cutoffs, or classification schemes.","* Different types of feasibilities are provided. * Information to be included in feasibilities and its relevance are detailed. * Practical hands-on suggestions are offered to make feasibilities more realistic and informative.","* Different types of feasibilities are provided. * Information to be included in feasibilities and its relevance are detailed. * Practical hands-on suggestions are offered to make feasibilities more realistic and informative."
"Efficiency and effectiveness evaluation of an automated multi-country patient count cohort system","https://scispace.com/papers/efficiency-and-effectiveness-evaluation-of-an-automated-5658a17kcx","2015","Journal Article","BMC Medical Research Methodology","Iñaki Soto-Rey
Benjamin Trinczek
Yannick Girardeau
Eric Zapletal
Nadir Ammour
Justin Doods
Martin Dugas
Fleur Fritz","10.1186/S12874-015-0035-9","https://scispace.com/pdf/efficiency-and-effectiveness-evaluation-of-an-automated-5658a17kcx.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 30/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses automated multi‑country patient counts to streamline feasibility studies and inform site‑selection decisions, but does not propose a dedicated complexity‑assessment framework or discuss complexity metrics.","With the increase of clinical trial costs during the last decades, the design of feasibility studies has become an essential process to reduce avoidable and costly protocol amendments. This design includes timelines, targeted sites and budget, together with a list of eligibility criteria that potential participants need to match. The present work was designed to assess the value of obtaining potential study participant counts using an automated patient count cohort system for large multi-country and multi-site trials: the Electronic Health Records for Clinical Research (EHR4CR) system. The evaluation focuses on the accuracy of the patient counts and the time invested to obtain these using the EHR4CR platform compared to the current questionnaire based process. This evaluation will assess the patient counts from ten clinical trials at two different sites. In order to assess the accuracy of the results, the numbers obtained following the two processes need to be compared to a baseline number, the “alloyed” gold standard, which was produced by a manual check of patient records. The patient counts obtained using the EHR4CR system were in three evaluated trials more accurate than the ones obtained following the current process whereas in six other trials the current process counts were more accurate. In two of the trials both of the processes had counts within the gold standard’s confidence interval. In terms of efficiency the EHR4CR protocol feasibility system proved to save approximately seven calendar days in the process of obtaining patient counts compared to the current manual process. At the current stage, electronic health record data sources need to be enhanced with better structured data so that these can be re-used for research purposes. With this kind of data, systems such as the EHR4CR are able to provide accurate objective patient counts in a more efficient way than the current methods. Additional research using both structured and unstructured data search technology is needed to assess the value of unstructured data and to compare the amount of efforts needed for data preparation.","The paper identifies complexity dimensions related to clinical trial feasibility studies, including: * **Timelines** * **Targeted sites** * **Budget** * **Eligibility criteria (EC)** * **Technological and human resources** * **Cohort definition by criteria** * **Patient counts**","The paper discusses the complexity and cost of carrying out Clinical Trials (CTs) but does not specify a scoring or rating system for complexity (e.g., numeric scale, weighted scoring, categorical levels, or threshold cutoffs). It mentions that protocol feasibility studies estimate parameters like timelines, targets, and costs, which inform decisions. The EHR4CR system aims to provide accurate patient counts to improve feasibility, but no explicit scoring or go/no-go decision thresholds based on complexity are detailed. Not specified.","* **Effectiveness:** * The patient counts from the EHR4CR system were more accurate than the current manual process in three out of the thirteen evaluated trials, while the current process was more accurate in six other trials. * In two trials, both processes had counts within the gold standard's confidence interval. * The accuracy of the EHR4CR PF system depends on the quality of structured data in the Clinical Data Warehouses (CDWs). * The EHR4CR PF system's values were within the confidence interval in three cases, with clinician estimations also within the interval in two of these cases. * In ten other cases, EHR4CR PF system values were below the lower bound of the gold standard. * **Efficiency:** * The EHR4CR protocol feasibility system saved approximately seven calendar days in obtaining patient counts compared to the current manual process. * Creating, executing, and visualizing a query using EHR4CR PF took between 5 and 25 minutes. * Receiving responses from clinicians via questionnaire took 7 calendar days if sent by an EFPIA representative, and between 30 and 90 days if approached directly by the site. * **100-patient records test:** * An in-depth analysis at UKM revealed that 23 out of 34 eligible patients (originally identified as 11) for the NCT01018173-Roche study were found by the EHR4CR PF system after loading all relevant patient data into the CDW. * The remaining eleven mismatches were due to data being stored as free text in clinical letters.","* The EHR4CR system's patient counts were more accurate than the current process in three out of ten evaluated trials. * The current process counts were more accurate in six other trials. * In two trials, both processes had counts within the gold standard's confidence interval. * The EHR4CR protocol feasibility system saved approximately seven calendar days in obtaining patient counts compared to the current manual process. * The accuracy of the EHR4CR PF system depends on the quality of data in the Clinical Data Warehouses (CDWs), requiring well-documented and structured data for high accuracy. * The use of free text as unstructured data was the primary reason for mismatches between the EHR4CR PF system and the ""alloyed"" gold standard. * Some data elements causing mismatches were not part of tests followed at the evaluated sites or were not electronically documented. * The EHR4CR PF system demonstrated flexibility, allowing easy modification of eligibility criteria and re-running queries, saving significant time compared to the manual process."
"Disease-specific clinical trials networks: the example of cystic fibrosis","https://scispace.com/papers/disease-specific-clinical-trials-networks-the-example-of-4q6lijh8r1","2016","Journal Article","European Journal of Pediatrics","Kris De Boeck
Veerle Bulteel
Isabelle Fajac","10.1007/S00431-016-2712-Z","https://scispace.com/pdf/disease-specific-clinical-trials-networks-the-example-of-4q6lijh8r1.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 30/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Describes how to start a disease‑specific trial network, sets site‑ranking criteria, and evaluates feasibility; does not present a formal complexity‑assessment framework or metrics.","This article describes the steps of the development and the structure of a disease-specific clinical trials network for cystic fibrosis in Europe. Activities such as reviewing study protocols, feasibility assessments, training and standardizing of procedures, and outcome measurements help to bring high-quality clinical trials to the patients. Cooperation with the pharmaceutical industry, other research networks, patient organizations, and regulatory agencies is very important throughout all activities.","The ECFS-CTN assesses protocols for scientific merit, feasibility, study design, and strategic fit. Feasibility assessment includes patient potential, adherence to ECFS standards of care, clinical trial experience, available staff and infrastructure, know-how on specific measurement techniques, detailed CF patient database, willingness to reserve patient population, and institutional support. Regulatory requirements and administrative burden are also noted as complexity factors.","The protocol review committee members score protocols for scientific merit, feasibility, study design, and strategic fit. A summary report is written by the primary reviewer. After this review, the executive committee votes on the acceptance of the protocol to be run within the network. The paper does not specify a numeric scale, weighted scoring, categorical levels, or specific thresholds for these scores, nor does it detail how complexity is explicitly rated.","* The ECFS-CTN quickly became successful and popular, expanding to 34 sites in 15 countries, grouping 17,500 patients. * It achieved operational and productive status in a short time, leveraging expertise from the CFF-TDN. * The network fostered enthusiasm, rotated responsibilities among investigators, and initiated new activities with partners. * Participants noted improved expertise and experience in clinical trials, striving for optimal quality delivery. * The network provides specific expertise and advice to companies conducting CF clinical trials, ensuring high quality via experienced sites. * Clinical trials conducted via ECFS-CTN are reviewed and meet certain standards. * The network helps identify and resolve issues during trial startup and conduct. * It has standardized outcome measures and achieved fast recruitment for CF studies, especially for CFTR modulators.","* Clinical research has led to the first approved treatments targeting the basic Cystic Fibrosis defect. * Multicenter international collaboration is essential for rare diseases like Cystic Fibrosis to obtain solid evidence for new treatments. * The Clinical Trials Network (CTN) established by the European Cystic Fibrosis Society (ECFS) has become a fully operational network with defined structures, procedures, and partnerships. * Standardization of outcome parameters, protocol review, feasibility assessment, and other activities help develop high-quality, efficient, relevant, and feasible clinical trials aimed at bringing new treatments to patients. * The ECFS-CTN facilitates the development of new treatments for a rare disease and can serve as a prototype for other diseases."
"“Being Human”: A Grounded Theory of Complexity and Serendipity in Cancer Clinical Trials","https://repository.lincoln.ac.uk/ndownloader/files/42972070","2023","Repository","","HM Jones","10.24385/lincoln.24326878","https://repository.lincoln.ac.uk/ndownloader/files/42972070","No","","zNhkMLR9GA0J","","","","","","","","","SciSpace","- **Relevance Score:** 30/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses grounded theory to explore operational challenges in UK cancer trials, but does not offer a formal complexity‑assessment framework or direct feasibility/site‑selection tools.","AbstractBackgroundCancer presents a complex and intractable disease resulting in millions of deaths worldwide each year. As a metastatic disease bearing metamorphic characteristics, cancer’s emergent properties continue to challenge science, medicine, and society. Cancer research is a specialist field crucial to the advancement of patient treatment and care, yet it faces growing challenges due to the complex nature of an evolving disease, stratified treatments, and intensive trial protocols, compounded by increasing global disease burdens. Human ingenuity and resiliency are central to overcoming the greatest challenges facing contemporary populations, achieved through research innovation and knowledge exchange across ranging disciplines. Improving population health and patient-centred outcomes stands at the fore of global challenges facing society in the twenty first century, requiring novel and dynamic responses to increasing chronic disease burdens and exposure risks to emergent viral pathogens. AimsThe aim of this thesis was to understand the nature of cancer clinical trial operational delivery, evaluating challenges and burdens of professionals and patients participating in cancer research studies. The nature of multi-agency working and transdisciplinarity across health sciences is as complex as the biological and societal challenges that their research seeks to address. Establishing sustainable, cohesive, and collaborative relationships across the medical continuum is pivotal to solving persistent challenges of complex diseases and societal burdens. The study sought to develop a contextualised grounded theory elucidating situated challenges and complexity experienced at NHS sites in the UK. The purpose of the grounded theory would be to support the development of enhanced, person-centred models of clinical research operational delivery, which could respond to emergent and dynamically adaptive healthcare and epidemiological population needs. MethodsEvaluating Follow-up and Complexity in cancer Clinical Trials (EFACCT), the study presented in this thesis, was conducted at ranging NHS secondary care sites in England and Scotland. Drawing on constructivist grounded theory (Charmaz, 2006), the multi-faceted realities of cancer clinical trial delivery are unveiled, using a mixed methods–grounded theory (MM-GT) design. The comprehensive, contextual evaluation combines evidence from quantitative and qualitative paradigms, using inductive and deductive methods. The study drew together multifaceted perspectives and values of 165 participants from six studies; Delphi, questionnaire, and interview studies, separated into patient and professional cohorts. ResultsThe research provides original insights into the nature of cancer research delivery, its challenges and complexities, highlighting the importance of coherency in healthcare systems. The Constructivist Grounded Theory presented in this thesis, provides an organising framework and practical model for managing and embracing transformative learning and practice in response to dynamically evolving challenges that exist within complex healthcare delivery systems and networks. The original data generated provides new knowledge on the human aspects of clinical research and the contexts for its practice. The situated experiences led to the development of a grounded theory of human perceptions of complexity and serendipity in clinical research and the conception of a Prismatic Coherence Model (PCM) for the evaluation and designing of patient care and follow-up and the effective operational management of complex relationships, practices and processes existing within adaptive clinical research and healthcare delivery systems. PCM is an inclusive and responsive strategic design approach, sensitive to variable contexts and system complexities, and promotes transdisciplinarity in order to advance opportunities, knowledge and resources to advance population health through clinical research.","The study evaluated challenges and burdens of professionals and patients, focusing on the nature of cancer clinical trial operational delivery. It highlighted the importance of coherency in healthcare systems and the complex relationships, practices, and processes within adaptive clinical research and healthcare delivery systems. The Prismatic Coherence Model (PCM) was conceived for evaluating and designing patient care, follow-up, and operational management.","Not specified. The metadata describes cancer as a complex disease and discusses the complexity of clinical trial operational delivery and healthcare systems. It mentions a Constructivist Grounded Theory and a Prismatic Coherence Model for managing and evaluating complexity, but does not detail specific scoring methods, rating scales, decision thresholds, or classification schemes for complexity.","- Provides original insights into the nature of cancer research delivery, its challenges, and complexities. - Highlights the importance of coherency in healthcare systems. - Presents a Constructivist Grounded Theory as an organizing framework and practical model for managing transformative learning and practice. - The theory responds to dynamically evolving challenges in complex healthcare delivery systems and networks. - Generates new knowledge on the human aspects of clinical research and its practice contexts. - Developed a grounded theory of human perceptions of complexity and serendipity in clinical research. - Conceived a Prismatic Coherence Model (PCM) for evaluating and designing patient care and follow-up. - PCM also supports effective operational management of complex relationships, practices, and processes in adaptive clinical research and healthcare delivery systems. - PCM is an inclusive, responsive strategic design approach sensitive to variable contexts and system complexities. - PCM promotes transdisciplinarity to advance opportunities, knowledge, and resources for population health through clinical research.","* The research provides original insights into the nature of cancer research delivery, its challenges, and complexities. * It highlights the importance of coherency in healthcare systems. * A Constructivist Grounded Theory is presented, offering an organizing framework and practical model for managing transformative learning and practice in response to evolving challenges in complex healthcare delivery systems. * New knowledge on the human aspects of clinical research and its practice contexts was generated. * A grounded theory of human perceptions of complexity and serendipity in clinical research was developed. * The conception of a Prismatic Coherence Model (PCM) for evaluating and designing patient care, follow-up, and operational management of complex relationships, practices, and processes within adaptive clinical research and healthcare delivery systems was achieved. * PCM is described as an inclusive, responsive strategic design approach sensitive to variable contexts and system complexities, promoting transdisciplinarity to advance population health through clinical research."
"Scoping review and characteristics of publicly available checklists for assessing clinical trial feasibility","https://scispace.com/papers/scoping-review-and-characteristics-of-publicly-available-1ly7xfdb","2022","Journal Article","BMC Medical Research Methodology","Viktoria Gloy
Benjamin Speich
Alexandra Griessbach
Ala Taji Heravi
Alexandra Schulz
Thomas Fabbro
Christiane Pauli Magnus
Stuart McLennan
Wendy Bertram
Matthias Briel","10.1186/s12874-022-01617-6","https://scispace.com/pdf/scoping-review-and-characteristics-of-publicly-available-1ly7xfdb.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 25/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Reviews publicly available feasibility checklists; does not propose a complexity framework, mentions complexity factors loosely, and provides tools directly usable for feasibility and site‑selection decisions.","Whether there is sufficient capacity and capability for the successful conduct and delivery of a clinical trial should be assessed by several stakeholders according to transparent and evidence-based criteria during trial planning. For this openly shared, user-tested, and validated tools are necessary. Therefore, we systematically examined the public availability and content of checklists which assess the study-level feasibility in the planning phase of clinical trials.In our scoping review we systematically searched Medline, EMBASE, and Google (last search, June 2021). We included all publicly available checklists or tools that assessed study level feasibility of clinical trials, examined their content, and checked whether they were user-tested or validated in any form. Data was analysed and synthesised using conventional content analysis.A total of 10 publicly available checklists from five countries were identified. The checklists included 48 distinct items that were classified according to the following seven different domains of clinical trial feasibility: regulation, review and oversight; participant recruitment; space, material and equipment; financial resources; trial team resources; trial management; and pilot or feasibility studies. None of the available checklists appeared to be user-tested or validated.Although a number of publicly available checklists to assess the feasibility of clinical trials exist, their reliability and usefulness remain unclear. Openly shared, user-tested, and validated feasibility assessment tools for a better planning of clinical trials are lacking.","The paper identified seven distinct domains for assessing clinical trial feasibility: * Regulation, review and oversight * Participant recruitment * Space, material and equipment * Financial resources * Trial team resources * Trial management * Pilot or feasibility studies","Not specified. None of the identified checklists provided information on how to interpret the results of the assessment or how to fill out the checklist. The paper states that the underlying evidence-base for the development of the checklists was missing, and none appeared user-tested or validated. Therefore, details on scoring, decision thresholds, or classification schemes for go/no-go decisions are not addressed.","* **Selection of sources:** The literature search identified 6221 references, with one included in the final analysis, and the internet search identified 35 potential checklists, with nine included. In total, 10 publicly available checklists for assessing clinical trial feasibility were identified. * **Characteristics of included checklists:** Of the 10 checklists, 5 were issued by universities, 3 by health care facilities, and 2 by national research organizations, originating from 5 different countries. Nine were in English, one in German. Intended users varied, including funders, investigators, health care facilities, and department chairs. * Only four checklists indicated the information required for assessment (trial protocol, informed consent form, other facility specific forms, or grant proposal). * None of the available checklists appeared to be user-tested or validated, nor did they provide instructions on how to fill them out or interpret results, and the underlying evidence-base for their development was missing. * **Feasibility assessment items:** A total of 48 distinct items related to clinical trial feasibility were identified and categorized into 7 domains: regulation, review and oversight; participant recruitment; space, material and equipment; financial resources; trial team resources; trial management; and pilot or feasibility studies. * The number of distinct items ranged from 7 to 28, with a median of 21 items. * The domain with the highest number of distinct items was participant recruitment (14 items), followed by trial team resources (11 items). * The most frequently mentioned items (by 8/10 checklists) were ""The target population is available,"" ""Access to professional support and required facilities is available,"" and ""Equipment is appropriate and sufficient."" * Other frequent items (mentioned by 7/10 checklists) included ""The clinical trial is compliant with local regulations,"" ""Competing trials are known,"" ""Study drug and comparator are available,"" and ""Adequate staffing is identified and available within the trial period.""","* 10 publicly available checklists from 5 countries were identified. * Checklists contained 48 distinct items, categorized into 7 domains. * None of the available checklists were user-tested or validated. * Most frequently mentioned items included ""The target population is available"" and ""Access to professional support""."
"Embracing innovation: A patient advocacy perspective on evolving trial designs","https://scispace.com/papers/embracing-innovation-a-patient-advocacy-perspective-on-51d87gtugagq","2024","Journal Article","Regulatory Affairs Watch","Nicole Gusset","10.54920/scto.2024.rawatch.9.31","https://scispace.com/pdf/embracing-innovation-a-patient-advocacy-perspective-on-51d87gtugagq.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 25/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Describes complex trial definitions and regulatory recommendations, but lacks a concrete assessment framework, detailed complexity metrics, or guidance for feasibility and site‑selection decisions.","SMA Schweiz and SMA Europe, two patient advocacy organisations for the rare condition spinal muscular atrophy (SMA), work towards promoting the fastest possible access to safe and effective medicines for all individuals who can benefit from them. Their experience has shown that patient and public involvement at the design stage of clinical research directly impacts a product’s pathway to patients and leads to a better understanding of a product’s value later on. Furthermore, recent discussions about how complex clinical trial designs and decentralised clinical trials use innovative methods to conduct clinical research indicate their potential to make trials more flexible, personalised, and convenient for participants. In addition to helping shift current paradigms, innovative trial designs hold enormous potential to further advance medicines for the good of patient communities, especially in the area of rare diseases.","","","",""
"Clinical Trial Feasibility Study Questionnaire Analysis.","https://scispace.com/papers/clinical-trial-feasibility-study-questionnaire-analysis-5e1ldtcm2w","2015","Journal Article","Studies in health technology and informatics","Iñaki Soto-Rey
Martin Dugas
Fleur Fritz","10.3233/978-1-61499-564-7-1029","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 20/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Analyzes existing feasibility questionnaires and systems, noting trial complexity but without proposing a formal assessment framework; offers insights useful for feasibility and site‑selection processes.","With the growing complexity and cost of clinical trials (CTs) over the past few decades, Protocol Feasibility (PF) studies have become one of the most critical CT steps in order to avoid costly protocol amendments and ensure the success of CTs. The PF process includes interaction with clinicians located at targeted clinical sites, which results in slow and cumbersome process steps. These process steps are normally supported by information systems that allow users to create, share and collect responses to feasibility questionnaires. This investigation analyzes the systems and questionnaires utilized at several clinical research companies for PF. In addition, it provides recommendations that could eventually improve current methods and systems in place.","","","",""
"Redefining Feasibility in Clinical Trials: Collaborative Approaches for Improved Site Selection","https://scispace.com/papers/redefining-feasibility-in-clinical-trials-collaborative-3pmt0oywcv","2023","Preprint","","Amy Krueger
Andrea Bastek","10.2139/ssrn.4605303","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 20/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Provides actionable best‑practice guides for site feasibility and selection, but lacks a formal complexity‑assessment framework or specific complexity metrics.","Background This task force convened to assess the complex and burdensome process of site feasibility in clinical trials. The objective was to create mutual understanding of challenges and provide suggestions for improving collaboration among sponsors, contract research organizations (CROs), and sites. Methods The task force was composed of representatives from sponsors, CROs and sites (43% Sites, 20% Site Networks, 10% Small/mid-size sponsors, 10% Small/mid-size CROs, 10% Large sponsors, 7% Large CROs). The group collaborated to define the scope of the problem, identify challenges in the current process, and provide suggestions for improving the process. Results The group found there is a need for better differentiation between the three main stages of feasibility, and the four sub-phases of Site Feasibility. The discussion brought to light emerging trends like early initiation of Site Feasibility and premature engagement of sites by CROs. To fully explain these challenges, the group analyzed the current practices and documented their downstream impact on clinical trial execution for all stakeholders. A list of best practices emerged naturally from this analysis. These findings are aggregated into short and actionable best practice guides. Conclusion The task force suggests practical changes for the feasibility process and raises awareness of emerging trends and their associated risks. This awareness can begin to drive change in the site feasibility process, although industry-wide transformation will require new levels of collaboration, data standardization and automation tools. The potential benefits of evolving this process are significant and meaningful for more efficient and successful clinical trials.","","","",""
"Operational complexities in international clinical trials: a systematic review of challenges and proposed solutions","https://scispace.com/papers/operational-complexities-in-international-clinical-trials-a-4qbse9wbq0","2024","Journal Article","BMJ Open","Leher Gumber
Opeyemi Agbeleye
Alex Inskip
Ross Fairbairn
Madeleine Still
Luke Ouma
Jingky Lozano-Kuehne
Michelle Bardgett
John D Isaacs
J. Wason
Dawn Craig
Arthur G Pratt","10.1136/bmjopen-2023-077132","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 20/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Reviews operational challenges without proposing a formal assessment framework; discusses complexity factors broadly and notes planning/communication needs for feasibility and site selection.","Objective International trials can be challenging to operationalise due to incompatibilities between country-specific policies and infrastructures. The aim of this systematic review was to identify the operational complexities of conducting international trials and identify potential solutions for overcoming them. Design Systematic review. Data sources Medline, Embase and Health Management Information Consortium were searched from 2006 to 30 January 2023. Eligibility criteria All studies reporting operational challenges (eg, site selection, trial management, intervention management, data management) of conducting international trials were included. Data extraction and synthesis Search results were independently screened by at least two reviewers and data were extracted into a proforma. Results 38 studies (35 RCTs, 2 reports and 1 qualitative study) fulfilled the inclusion criteria. The median sample size was 1202 (IQR 332–4056) and median number of sites was 40 (IQR 13–78). 88.6% of studies had an academic sponsor and 80% were funded through government sources. Operational complexities were particularly reported during trial set-up due to lack of harmonisation in regulatory approvals and in relation to sponsorship structure, with associated budgetary impacts. Additional challenges included site selection, staff training, lengthy contract negotiations, site monitoring, communication, trial oversight, recruitment, data management, drug procurement and distribution, pharmacy involvement and biospecimen processing and transport. Conclusions International collaborative trials are valuable in cases where recruitment may be difficult, diversifying participation and applicability. However, multiple operational and regulatory challenges are encountered when implementing a trial in multiple countries. Careful planning and communication between trials units and investigators, with an emphasis on establishing adequately resourced cross-border sponsorship structures and regulatory approvals, may help to overcome these barriers and realise the benefits of the approach. Open science framework registration number osf-registrations-yvtjb-v1.","","","",""
"Key feasibility considerations when conducting vaccine clinical trials in Asia–Pacific countries","https://scispace.com/papers/key-feasibility-considerations-when-conducting-vaccine-4932lbg9yg","2013","Journal Article","","Elvira Zenaida Lansang
Kenneth Paul Tan
Saumya Nayak
Ken J Lee
Karen Wai","10.2147/VDT.S41903","https://scispace.com/pdf/key-feasibility-considerations-when-conducting-vaccine-4932lbg9yg.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 20/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses recruitment forecasts and regulatory risk analysis to guide feasibility and site‑selection decisions; does not present a formal complexity‑assessment framework or detailed complexity metrics.","Correspondence: Elvira Zenaida Lansang Feasibility and Site Identification – Asia, Quintiles East Asia Pte Ltd, 79 Science Park Drive, #06-08, Cintech IV, Science Park One, Singapore 118264 Tel +65 6602 1634 Fax +65 6872 0430 Email elvirazenaida.lansang@quintiles.com Introduction: Conducting clinical trial feasibility is an important first step in initiating a clinical trial. A robust feasibility process ensures that a realistic capability assessment is made before conducting a trial. A retrospective analysis of vaccine clinical trials was performed to understand changes which could affect feasibility recommendations. Methods: Feasibilities conducted by Quintiles between January 2011 and August 2012 were reviewed. Vaccine studies only involving Asia–Pacific countries were selected, and common study parameters were identified. Information from Quintiles’ database was retrieved to examine changes in parameters over time. Results: A total of six vaccine studies were identified within the 1.7-year period. Two studies were excluded because they did not contain feasibility information or had involved sites that were sponsor selected. Four studies were analyzed. Three cases required healthy volunteers, while one case involved a specific patient population. Age requirement and seasonality of disease mainly influenced recommendations for Study 1. Sponsor’s marketing strategy influenced the recommendations for Study 2. Study 3 showed the effect of a country’s immunization program and reimbursement of vaccines on a study’s success. In contrast to the other studies, Study 4 demonstrated the impact of eligibility criteria in recruitment recommendations for a vaccine trial requiring specific patient pools. Conclusion: Feasibility recommendations for vaccine trials are largely based on (1) eligibility criteria; (2) cultural beliefs; (3) country’s past recruitment performance; (4) use of advertising; (5) site’s access to subject populations; (6) cooperation with local health professionals and government; (7) sponsor’s marketing strategies; (8) study design concordance with national immunization programs; (9) reimbursement of vaccines; (10) overall benefit of the vaccine to the population; and where applicable, (11) seasonality of the disease under study.","","","",""
"Feasibility of decentralised, task-shifted hepatitis C testing and treatment services in urban Myanmar: implications for scale-up","https://bmjopen.bmj.com/content/12/5/e059639.abstract","2022","Journal Article","BMJ Open","Bridget Draper
Win Lei Yee
Sonjelle Shilton
Anna L Bowring
Hla Hla Htay
Nwe Htin Nwe
Jessica L Markby
Khin Pyone Kyi
Philippa Easterbrook
Win Pa Pa Naing
Thin Mar Win
Khin Sanda Aung
Jessica Howell
Alisa Pedrana
Margaret Hellard","10.1136/bmjopen-2021-059639","https://bmjopen.bmj.com/content/bmjopen/12/5/e059639.full.pdf","Yes","9","_2FUuU1s7HkJ","","","","","","","","","SciSpace","- **Relevance Score:** 20/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses Gericke's Intervention Complexity Framework to describe service implementation, not a trial‑specific complexity model; addresses feasibility of care delivery rather than trial site selection.","Objectives To assess the feasibility considerations for a decentralised, one-stop-shop model of care implemented in Yangon, Myanmar. Setting Two primary care level clinics in urban Yangon, Myanmar. Design This is a feasibility study of a highly effective care model. Using Intervention Complexity Framework by Gericke et al, we collated and analysed programmatic data and evaluation data to outline key project implementation requirements and experiences. Participants Programmatic data were collected from clinical records, GeneXpert device test and maintenance reports, national guidelines, product and device instructions and site monitoring visit reports. Healthcare providers involved in delivering care model contributed interview data. Results The main feasibility considerations are appropriate storage for test kits and treatments (in response to temperature and humidity requirements), installation of a continuous stable electricity supply for the GeneXpert device, air-conditioning for the laboratory room hosting GeneXpert, access to a laboratory for pretreatment assessments and clear referral pathways for specialist consultation when required. Lessons from our project implementation experiences included the extensive time requirements for patient education, the importance of regular error monitoring and stock storage reviews and that flexible appointment scheduling and robust reminder system likely contributed to high retention in care. Conclusions Detailed documentation and dissemination of feasibility requirements and implementation considerations is vital to assist others to successfully implement a similar model of care elsewhere. We provide 10 recommendations for successful implementation. Trial registration number The trial was registered at ClinicalTrials.gov NCT03939013 on May 6, 2019. This manuscript presents post-results data on feasibility.","","","",""
"Systems and methods for profile-integrated clinical trial feasibility assessments","https://scispace.com/papers/systems-and-methods-for-profile-integrated-clinical-trial-2ni7ldpvtp","2015","Patent","","Thiers Fabio Albuquerque
Boettcher Guilherme Bertini","","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 15/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses integrated center profiles to build live feasibility questionnaires, directly supporting site‑selection decisions; does not address trial complexity metrics or a dedicated complexity‑assessment framework.","The invention provides tools for generating online feasibility assessments that may be performed live and in which existing profiles of clinical research centers are integrated into the assessment creation process. Tools of the invention allow a planner to create and save new assessment questionnaires, and then to craft the questions in those assessment tools while also provisionally filtering centers, pre-populating assessment data based on center profiles, or both.","","","",""
"Additional file 1 of Scoping review and characteristics of publicly available checklists for assessing clinical trial feasibility","https://scispace.com/papers/additional-file-1-of-scoping-review-and-characteristics-of-900okwwh60qf","2022","Journal Article","","Speich Benjamin
Briel, Matthias","10.6084/m9.figshare.19802270","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 15/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Provides a scoping review of checklists; mentions feasibility but lacks a dedicated complexity framework or direct decision‑making guidance for site selection.","Additional file 1.","","","",""
